date,description,amount
2025-01-15,Whole Foods Market,-127.43
2025-01-14,Shell Gas Station,-52.18
2025-01-14,Starbucks Coffee,-5.75
2025-01-13,Netflix Subscription,-15.99
2025-01-12,Electric Company,-143.67
2025-01-10,Salary Deposit,3500.00
2025-01-09,Amazon Purchase,-87.32
2025-01-08,Apartment Rent,-1850.00
2025-01-07,Target Shopping,-64.21
2025-01-06,Verizon Wireless,-89.99
2025-01-05,Chipotle Restaurant,-12.47
2025-01-04,Trader Joes,-94.55
2025-01-03,Car Insurance,-145.00
2025-01-02,Uber Ride,-23.14
2025-01-01,Water Bill,-38.92
